condition,trial,module,compliance,elab_only,stitch_funccheck
claude_web,1,P1_PS,1,1,
claude_web,2,P1_PS,1,1,
claude_web,3,P1_PS,1,1,
claude_web,1,P2_PS,1,1,
claude_web,2,P2_PS,1,1,
claude_web,3,P2_PS,1,1,
claude_web,1,P3_PS,1,1,1
claude_web,2,P3_PS,1,1,1
claude_web,3,P3_PS,1,1,1
gpt,1,P1_PS,1,1,
gpt,2,P1_PS,1,1,
gpt,3,P1_PS,1,1,
gpt,1,P2_PS,1,1,
gpt,2,P2_PS,1,1,
gpt,3,P2_PS,1,1,
gpt,1,P3_PS,1,1,1
gpt,2,P3_PS,1,1,1
gpt,3,P3_PS,1,1,1
gemini,1,P1_PS,1,1,
gemini,2,P1_PS,1,1,
gemini,3,P1_PS,1,1,
gemini,1,P2_PS,1,1,
gemini,2,P2_PS,1,1,
gemini,3,P2_PS,1,1,
gemini,1,P3_PS,1,1,1
gemini,2,P3_PS,1,0,0
gemini,3,P3_PS,1,1,1
